VI,DELHI,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,DL,180 Days,NULL,18,NULL,,,,
VI,DELHI,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,DL,180 Days,NULL,18,NULL,,,,
VI,GUJRAT,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,GJ,180 Days,NULL,18,NULL,,,,
VI,GUJRAT,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,GJ,180 Days,NULL,18,NULL,,,,
VI,HARYANA,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,HR,180 Days,NULL,18,NULL,,,,
VI,HARYANA,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,HR,180 Days,NULL,18,NULL,,,,
AT,GUJRAT,Topup,44,Talktime Rs 36.16,GJ,NA,NULL,1,ATP,,,,,,
AT,GUJRAT,Topup,50,Rs 43 Talktime,GJ,NA,NULL,1,ATP,,,,,,
AT,GUJRAT,Topup,120,Regular Talktime,GJ,NA,NULL,1,ATP,,,,,,
AT,GUJRAT,Topup,130,Regular Talktime,GJ,NA,NULL,1,ATP,,,,,,
AT,GUJRAT,Topup,330,Talktime 293.70,GJ,NA,NULL,1,ATP,,,,,,
AT,GUJRAT,Topup,405,Talktime Rs360.4,GJ,NA,NULL,1,ATP,,,,,,
AT,HARYANA,Topup,60,Rs 50.40 Talk-time,HR,lifetime,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,10,Rs. 7.9 min account Talktime,HP,NA,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,20,Talktime of Rs 15.80,HP,NA,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,30,Rs. 23.7 min account talktime,HP,NA,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,50,Rs. 41.5 min account talktime,HP,NA,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,60,Rs. 50.4 min account talktime,HP,NA,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,70,Rs. 59.3 min account talktime,HP,NA,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,80,Rs. 75 min account talktime,HP,NA,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,100,Rs. 86 min account talktime,HP,Life time,NULL,1,ATP,,,,,,
AT,HIMACHAL PRADESH,Topup,110,Talktime of Rs. 94.9,HP,NA,NULL,1,ATP,,,,,,
AT,KARNATAKA,Topup,20,15.8 TT in Main Account,KN,Lifetime,NULL,1,ATP,,,,,,
AT,KARNATAKA,Topup,30,23.7 Talktime,KN,Lifetime,NULL,1,ATP,,,,,,
AT,KARNATAKA,Topup,40,Main Acct TT of 32.6,KN,Lifetime,NULL,1,ATP,,,,,,
AT,KARNATAKA,Topup,50,41.5 Talktime,KN,Lifetime,NULL,1,ATP,,,,,,
AT,KARNATAKA,Topup,100,86.00 Talktime,KN,Lifetime,NULL,1,ATP,,,,,,
AT,KARNATAKA,Topup,110,94.9 Talktime,KN,Lifetime,NULL,1,ATP,,,,,,
AT,KARNATAKA,Topup,120,Regular Talktime,KN,Regular,NULL,1,ATP,,,,,,
